,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,-0.0096512871112639,3.927982341149115,-3.865994656293565,1.499895914121943,7.79397699744268,8.81153446018124,116.46137425876013,16.0,91.66224696153472,0.007431084270469756,6.821836726104284,-6.981226022119824,2.3821569999325334,13.803062748224107,22.2715577928596,355.68672334271054,27.0,210.52156960365377,0.007471000259902363,8.483175657089735,-8.517823251308915,2.953075816522753,17.00099890839865,33.57165670928117,365.2416248841014,41.0,305.2315743336748
1,5,0.006820641623927157,3.75611460059097,-3.925537035666143,1.3366659252200512,7.681651636257113,7.03381175245164,67.82712819277138,11.0,77.91149665337102,0.0055684896101596045,7.246142245317973,-7.262976431340297,2.596666621761937,14.50911867665827,26.33334472511145,432.4363143878623,35.0,239.9223938363627,-0.03351551312197835,7.731575983021228,-8.52640278518367,2.7670394581987434,16.2579787682049,29.73107131727338,814.5801156354038,33.0,250.30225635937722
2,10,0.0022368113532584308,2.7309469045148456,-3.109282887253627,1.0150073217593079,5.840229791768472,4.025653170727155,42.16875402034901,8.0,40.21337890610745,-0.010711819407036485,4.732117771369661,-5.3574268029281535,1.726700371363297,10.089544574297815,11.378426873548234,147.1494491668943,20.0,96.52664697049244,-0.005937875648732313,8.24379688097294,-8.434155820624447,2.137880525980254,16.677952701597388,17.78093720306932,188.12579406873832,26.0,163.5780914537357
3,15,-0.005962411358592318,3.796581625516063,-3.89793653923105,1.286499761894407,7.694518164747113,6.396889421150013,59.08081453973029,10.0,70.17117006590311,-0.010574106553129846,7.076732978516661,-6.96721834137088,2.360694096852548,14.04395131988754,21.64283871135611,343.0454997255907,32.0,216.81270885350293,-0.026477750306984033,8.501436005050852,-8.058059690603203,2.7482224041395233,16.559495695654057,29.592834983409464,338.520892299362,37.0,309.46941671321696
4,20,0.015672220335494806,3.935385449157727,-3.904583948212391,1.536350359592519,7.839969397370118,9.048692277100137,76.15704166368162,21.0,107.88061363344367,-0.023852999706496923,6.846891371030509,-7.27018830742107,2.618601470776796,14.117079678451578,25.284390230051567,448.46236440078656,33.0,231.6624085562456,0.02337211187673744,8.533986725700728,-8.396663143523003,2.620338799399126,16.930649869223732,26.121816126208273,322.7216413655845,37.0,261.52884600309085
5,25,0.03568575377104673,3.913769936053628,-3.890327982787815,1.625364757690064,7.804097918841443,9.63697572077856,113.76889597531466,18.0,113.40835338817404,-0.012839982617059596,7.195567358663396,-7.254407872022327,3.200996122168574,14.449975230685723,38.63230768565461,351.42443582857163,40.0,362.39723940659803,-0.03833857127856336,8.532827843945263,-8.168534278945145,3.6568756435450767,16.70136212289041,49.29710442380106,692.2716943028163,50.0,466.86289164668176
6,30,-0.004747959937476753,3.8282629042819303,-3.9331160107724266,1.3802099243798915,7.761378915054356,7.1516179999460405,68.45424877796982,11.0,89.08984818729584,0.01586501560279826,6.790361843390979,-6.952730368041427,2.4580788821671846,13.743092211432407,23.36833327433102,229.00007557083345,33.0,234.33748129378958,-0.013427000747177616,8.292703713078328,-8.537003110730545,3.0055224982746322,16.829706823808873,35.549712907981394,897.0370180363244,44.0,362.9037830330886
7,35,0.0008950675066553718,3.4843101793289453,-3.763326392634737,1.085737625221467,7.247636571963682,4.627079099352583,42.49681283727335,5.0,52.15701358415337,-0.029911801739820748,6.09079211919159,-6.209243376968654,1.7487108181060185,12.300035496160245,11.625281124763726,142.6613670595972,20.0,111.94801958210968,0.001344892389000118,7.740375821071028,-8.305117454179095,2.1180644826306065,16.045493275250124,17.659976049819928,202.11521171546286,32.0,183.0214376466943
8,40,0.0027055519218520214,3.716788512367267,-3.706371653124648,1.3426089863086355,7.423160165491915,7.075219600251056,108.16806504280231,9.0,86.33693029601713,0.02893788827671101,7.243873019393488,-7.2310490794762305,2.4755023314935896,14.474922098869719,23.760235835142943,393.2946109186835,28.0,218.0918961466954,0.008698377504714307,8.504959568633184,-8.313204086456139,3.034991808114323,16.81816365508932,35.6743380700131,349.567178378792,40.0,342.7271400893657
9,45,0.03983717183834084,3.447404113577379,-3.7310537057523634,1.3135047451075115,7.178457819329743,6.720994265281383,58.46224111221998,14.0,80.59175904023124,-0.011873735109968241,7.017709463235881,-7.237275431048986,2.5055589391917037,14.254984894284867,24.61672288103602,442.6094583119229,34.0,237.3950720270417,0.010860259720655971,7.952413522017171,-7.820244614673047,2.3857664665460305,15.772658136690218,22.32727956679896,247.56655021490133,32.0,220.33137283077522
10,50,-0.011804887660471986,3.5602384206928224,-3.661470921647109,1.3253129697113282,7.221709342339931,6.929632604009119,72.99599432058443,14.0,81.10295265476964,-0.01260401489365348,6.931016126900826,-7.052609396756992,2.414949328321829,13.983625523657818,22.82233784840226,327.5219631865337,27.0,212.04268296100756,-0.06017230370420823,8.019930327019425,-8.50521162565815,2.970105830084991,16.525141952677576,33.74157586567877,455.9744736961175,41.0,319.71468379411704
11,55,0.017837942245484847,3.881123532205197,-3.6561430079202655,1.3277179985346093,7.537266540125462,6.79809306010313,73.63127464274525,11.0,77.56712872607037,-0.05020641476990581,7.269857111437826,-7.201862201556931,2.4969811478783313,14.471719312994757,23.38366442293129,250.00754343014708,30.0,205.66878081782363,-0.024672967596123047,8.529707270778616,-8.495540236759457,3.3218741985256686,17.025247507538072,42.620555864353165,609.6516872491013,41.0,351.26122801631135
