,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,-0.0003499786577317663,6.105670387375002,-6.968585862103504,1.9155429010888243,13.074256249478506,14.237042091720577,105.09035106294274,32.0,177.01143797810124,0.007369084434022503,13.908124805110454,-13.461544751443997,3.917814352872992,27.36966955655445,59.941293516573964,935.4616419206086,46.0,512.4167713890741,0.014373553285425346,12.828986717283712,-13.650075026245371,3.9152678744834515,26.479061743529083,60.03514465643137,688.652827043145,50.0,525.4983072069037
1,5,-0.006727489834302349,3.960282980341195,-6.817644096696072,1.3196598841723755,10.777927077037267,6.730352699285829,67.81703850344493,13.0,74.53930726941479,0.012655811947535163,11.160535763812067,-13.61029477452258,2.8329639063844887,24.77083053833465,31.292698287802374,550.1749687877181,37.0,274.57207128553716,0.010427022217799214,13.235730377497433,-13.14882445575973,3.1449138095323104,26.384554833257162,38.6098879437835,438.5390566770442,38.0,343.9620972891044
2,10,0.012074303185994601,5.786893672182098,-5.469176204519739,1.5042229539158167,11.256069876701837,8.831388206657905,53.02818439267573,19.0,108.02013137956982,-0.028752934250399882,9.428334439668056,-9.164500981099296,2.7312265286545574,18.59283542076735,29.131306705030745,373.2953376590799,49.0,291.11253198683295,-0.007407789246311231,11.979223697180878,-13.378832207414405,3.2284624838260947,25.358055904595282,41.17357380537266,469.8209503114135,53.0,436.0931545806396
3,15,-0.0027993376889622374,5.367400031476145,-5.1649931234402455,1.441663070185561,10.532393154916392,8.201507574253654,66.1342372695786,20.0,85.26723766773401,0.042844164496672846,10.213784342567958,-9.455053434586798,3.053141722670335,19.668837777154756,36.29024960365536,346.73217441358344,43.0,341.33849907143684,0.002819418207606083,11.938575479885731,-10.724439050221124,2.981306124912312,22.663014530106857,34.7486024358626,334.59520390623567,41.0,341.5037123074294
4,20,0.0018097213862381446,6.875329645637578,-5.251117868542723,1.627713793637483,12.1264475141803,10.452517135196251,106.0198517710352,24.0,117.80306637156295,-0.026215384387683047,13.71365820788778,-12.651275234819394,3.9746718115915303,26.364933442707176,61.54394938425035,1029.6231356439553,50.0,520.3278761130633,-0.005459192426110195,11.89950406874309,-12.837096543326952,3.8128196385046778,24.736600612070042,56.58778519850572,903.5440601407785,55.0,545.9803769019588
5,25,-0.0036675954402721287,4.134905675789216,-5.987569117700539,1.3836860030479272,10.122474793489754,7.466135312023744,59.6006180921618,12.0,89.24222046062407,-0.02189631158496024,12.43158953746966,-12.335461500772166,3.4508342013561903,24.767051038241824,46.93085797816283,569.198272340227,63.0,512.7750978369677,0.0015724294609132266,12.086955546526,-13.516187948110062,2.8010980671689905,25.60314349463606,30.44653155405278,454.58390334995755,37.0,280.4567578708617
6,30,-0.0005568896231726712,6.41923212958088,-7.631226416836132,1.9926892018116185,14.050458546417012,15.722745089146983,134.4165300470897,32.0,179.88478332744697,0.015442623982371695,9.38262347987368,-12.815309810074796,3.5444436421828667,22.197933289948473,49.41636279919377,570.244983828641,36.0,442.3731882718493,-0.026204944828870685,13.432478416126926,-13.487842114452556,4.738121135943505,26.92032053057948,87.85903221522206,1526.4417386808677,57.0,775.6549752210743
7,35,0.007838386476022302,7.650585762023864,-7.1226302139790185,2.6695064527913397,14.773215976002882,27.642142967634804,186.17780167752693,53.0,334.7365129028627,0.0259355338050693,14.046852757868766,-13.565693433872864,4.987942060145827,27.61254619174163,97.71207738119203,1135.3605845812292,50.0,897.9465060586216,0.04676997253702976,13.517081884271107,-13.590766287395867,5.387055766981081,27.107848171666973,111.89925793736202,1143.6682516946555,64.0,1009.6402598454082
8,40,-0.003922585680345963,7.410179393821156,-7.626370311873078,2.9937022181137873,15.036549705694235,34.93068874678595,317.48218298173896,55.0,444.97852246517164,0.01116620355925906,14.115861298012288,-13.847140651223002,5.2727656789888675,27.96300194923529,108.97858934968812,1162.3542272862574,63.0,1055.4036660198285,-0.07338836226314084,13.422430569186686,-13.646241402421037,5.79824443113993,27.06867197160772,131.79928706756542,1672.705201827213,71.0,1210.6359636312895
9,45,-0.003950237362453305,7.57624342263314,-7.531459164779505,2.553499656269711,15.107702587412644,25.693954371618855,176.70712911934874,43.0,304.15086975199216,0.0174437039003112,14.085228544740492,-13.96415742132064,5.5489396654408845,28.04938596606113,119.82740209986981,2917.644996468946,57.0,1126.4972460063448,-0.00656394361233289,13.689804016423397,-13.493278658313193,5.3949061218004974,27.18308267473659,113.22688006696711,1095.296334224575,67.0,1128.288191913271
